2025-07-13 22:25:27,567 - performance - INFO - Request Performance | Data: {"endpoint": "/tutor/sessions/8/pause", "method": "POST", "duration_ms": 0.07, "status_code": 400}
2025-07-13 22:25:27,963 - performance - INFO - Request Performance | Data: {"endpoint": "/tutor/sessions/8/pause", "method": "POST", "duration_ms": 0.16, "status_code": 400}
2025-07-13 22:25:28,088 - performance - INFO - Request Performance | Data: {"endpoint": "/tutor/sessions/8/pause", "method": "POST", "duration_ms": 0.28, "status_code": 400}
2025-07-13 22:25:28,341 - performance - INFO - Request Performance | Data: {"endpoint": "/tutor/sessions/8/pause", "method": "POST", "duration_ms": 0.14, "status_code": 400}
2025-07-13 22:25:29,069 - performance - INFO - Request Performance | Data: {"endpoint": "/tutor/sessions/8/pause", "method": "POST", "duration_ms": 0.87, "status_code": 400}
2025-07-14 10:01:57,986 - performance - INFO - Request Performance | Data: {"endpoint": "/auth/me", "method": "GET", "duration_ms": 0.23, "status_code": 401}
2025-07-14 10:01:58,288 - performance - INFO - Request Performance | Data: {"endpoint": "/tutor/students", "method": "GET", "duration_ms": 0.02, "status_code": 401}
2025-07-14 10:01:58,635 - performance - INFO - Request Performance | Data: {"endpoint": "/tutor/sessions", "method": "GET", "duration_ms": 0.01, "status_code": 401}
2025-07-14 10:02:00,646 - performance - INFO - Request Performance | Data: {"endpoint": "/tutor/dashboard", "method": "GET", "duration_ms": 0.01, "status_code": 401}
2025-07-14 10:09:33,774 - performance - INFO - Request Performance | Data: {"endpoint": "/auth/login", "method": "POST", "duration_ms": 0.05, "status_code": 401}
2025-07-15 09:33:21,800 - performance - INFO - Request Performance | Data: {"endpoint": "/auth/login", "method": "POST", "duration_ms": 0.83, "status_code": 401}
2025-07-15 09:37:02,298 - performance - INFO - Request Performance | Data: {"endpoint": "/favicon.ico", "method": "GET", "duration_ms": 0.26, "status_code": 404}
2025-07-15 09:49:35,132 - performance - INFO - Request Performance | Data: {"endpoint": "/chat/session/7/report", "method": "GET", "duration_ms": 0.01, "status_code": 404}
2025-07-15 09:52:15,923 - performance - INFO - Request Performance | Data: {"endpoint": "/chat/session/3/report", "method": "GET", "duration_ms": 0.01, "status_code": 404}
2025-07-15 11:44:44,790 - performance - INFO - Request Performance | Data: {"endpoint": "/tutor-chat/session/active", "method": "GET", "duration_ms": 0.06, "status_code": 404}
2025-07-15 11:44:44,984 - performance - INFO - Request Performance | Data: {"endpoint": "/tutor-chat/session/active", "method": "GET", "duration_ms": 0.06, "status_code": 404}
2025-07-15 12:15:36,729 - performance - INFO - Request Performance | Data: {"endpoint": "/auth/me", "method": "GET", "duration_ms": 0.02, "status_code": 401}
2025-07-15 12:15:36,907 - performance - INFO - Request Performance | Data: {"endpoint": "/tutor/students", "method": "GET", "duration_ms": 0.03, "status_code": 401}
2025-07-15 12:15:36,980 - performance - INFO - Request Performance | Data: {"endpoint": "/tutor/sessions", "method": "GET", "duration_ms": 0.03, "status_code": 401}
2025-07-15 12:15:36,999 - performance - INFO - Request Performance | Data: {"endpoint": "/tutor/dashboard", "method": "GET", "duration_ms": 0.04, "status_code": 401}
2025-07-17 09:40:45,203 - performance - INFO - Request Performance | Data: {"endpoint": "/favicon.ico", "method": "GET", "duration_ms": 0.70, "status_code": 404}
2025-07-17 09:45:14,066 - performance - INFO - Request Performance | Data: {"endpoint": "/tutor-chat/session/active", "method": "GET", "duration_ms": 0.36, "status_code": 404}
2025-07-17 09:45:14,117 - performance - INFO - Request Performance | Data: {"endpoint": "/tutor-chat/session/active", "method": "GET", "duration_ms": 0.04, "status_code": 404}
